,0
6328,"Excellent service, lovely food. Amazing panoramic views of London. Would definitely recommend to others and particularly couples."
6329,"Great food, cocktails and of course the view! 
Although the restaurant was extremely busy the service was good:)"
6330,"I loved the service. Really nice waiters and the meal was lovely, so was the scenery. I really enjoyed my birthday lunch and though pricey it was well worth it..."
6331,"Well, after a really rather rubbish Michelin experience the night before and minimal expectations for a brunch meal we were really pleased with the aqua shard. Good food, none rushed and although busy still felt personal with a great view. Really lovely experience and pleased...More"
6332,I love London at night and there is no better way to see it than the 31st floor if the Shard sipping a glass of red! Food was fantastic and the staff are knowledgeable and friendly.
6333,"Had a meal here with one of our suppliers in a group of 9 so we had a private dining room to ourselves in a glass room right off the window. The view is amazing, the food is great!
Will be back."
6334,"Enjoyed a great birthday breakfast with my boyfriend, extremely friendly staff, v. Good breakfast deal"
6335,"Brilliant service. Meal very good although the cheeseboard was very skimpy. 
We had a glass room that had amazing views and you're not interrupted by anyone else's conversation whilst still feeling the atmosphere.
Beware the cost of water!"
6336,"No queues, went through airport style security, you go up in 2 lifts have to change half way through but very quick. When up the top you get amazing views and no rush you can spend as long as you like no where to sit...More"
6337,Well worth the effort and the money just for the views. The 3 course lunch menu was perfectly good and the service is well organized and slick. The dress advised is smart casual but we have to say most of the clientele were shabbily turned...More
6338,"Second time in this stunning place after 4 months!! what a lovely sunday brunch!! the lobster benedict was simply perfect, the Cod full of flavours and as last the lemon posset was just WOW. Attentive and friendly staff made my day memorable.Thank you AGAIN !!"
6339,"Dined here for afternoon tea with two friends.  We were impressed with the decor and the view, but after that it was pretty average.  The afternoon tea was basic, nothing special, had nicer in local hotels.  The service was ok, but we did ask for...More"
6340,"The service was excellent, from the moment we arrived to the end of our wonderful experience. Informative & attentive. From the cloakroom attendees to the restaurant manager, they made us feel welcome and special.
Our table of three was perfectly situated so that we could...More"
6341,"FIRST CLASS in service, food, atmosphere - staff are a delight - ticked all the boxes for me.  Certainly have something to shout about. Anna"
6342,Best Afternoon Tea experience. The staff were lovely especially Davide who really did look after us. Overall excellent experience and I'm looking forward to returning
6343,"Decided to pop in here for a drink while out exploring the city on Saturday, didn't book it was just a spur of the moment thing obviously very busy but staff were not helpful at all at trying to accommodate us to the point where...More"
6344,"I booked to take my partner for his birthday to Aquashard. I mentioned it was a birthday meal on the booking and they very kindly allocated us a next to window table. Which is not guaranteed.

We then proceeded to have a bit of chaotic...More"
6345,"we had the pleasure of having drinks here in october, at first we only had a table away from the window which was disappointing but the very well trained and attentive waiters and waitresses make a note of who can be moved to a window...More"
6346,"My friends and I opted for the lunch special. What great value and amazing service never mind the incredible view. Highly recommended and fantastic value for money. 

Surely this place will grab a Michelin star soon please?"
6347,"We met a friend for dinner one night this month - we had never been there before.  As we entered and walk down the stairs to the dining room - we were simply speechless at the beauty.  The food was excellent, the service equal.  Highly...More"
6348,I'm guessing this place charges so much because of its stunning views. In truth it has all the atmosphere of an airport restaurant and the food - which arrived cold - was more pub food than a lunch for 2 for over £200. It looked...More
6349,"I had bought my mum a voucher for the Aqua Shard thinking it would be a treat but the whole experience was a comedy of errors. 

We arrived early and wanted to have a drink in the bar. The reception team took our coats, pointed...More"
6350,"We went for afternoon tea, the food is nice but I've had much better but the service is terrible, it's a shambles.
Met by unfriendly uninterested staff, table to small for 4 people food crammed on to table waiter never took any empties away to...More"
6351,"The staff were very helpful & friendly, and of course the views from our table were unique. But £13:50 for a Gin & tonic plus £10:00 for a small glass of wine took the shine off an enjoyable experience"
6352,"OK, so mid-afternoon on a Saturday before Christmas is probably not the best time to visit for a quiet drink. The bar was absolute rammed. We did eventually get a window seat and relaxed, but it was so busy people constantly brushed past. One can't...More"
6353,"If your a visitor in London this is an absolute must. This is my second visit the service was impeccable everyone has a smile, fantastic food and the views are amazing."
6354,"A really excellent meal – the venison with haggis and whisky jus was outstanding. This, combined with the views made for a memorable lunch."
6355,"The setting is fantastic and so was the welcome and the service.  But, our food was nearly cold and the plates were stone cold.  We never complain about such problems but were disappointed.  Also I would prefer to be able to buy a larger glass...More"
6356,"Booked up for lunch at this amazing restaurant.  Fantastic views across the city and service was excellent throughout.  A couple of gripes however that could be addressed - the soup was nicely poured out into the bowl at the table, however it was only luke-warm...More"
6357,Friendly welcome. Good service. Good choice of food and served hot on hot plates!  Magnificent location with wonderful views over my wonderful home town. Many thanks.
6358,"As part of my birthday weekend away we planned to come to aqua for a drink, we knew it could get busy but we were very lucky and got a table in the bar area with the most fabulous views, we had the festive cocktails...More"
6359,"We booked last minute for an afternoon lunch and the service was impeccable. Fantastic food and very generous portions, particularly for Desserts. David (Front of House Manager) went above and beyond to ensure we received a table with a view and had the best experience."
6360,"Having booked a table for 14:30 we had to wait 15minutes on arrival.

When seated we waited 15 minutes for drinks to arrive.

We had a 7 week old baby with us and there was no problem at all. Access is interesting as you end...More"
6361,"You would choose this restaurant for the view indent the food, don't get me wrong the food is ok but it doesn't live up to the view or the prices."
6362,The food is not really good very bad The service is really nice specially Devid Front of hours really cool
6363,"Fabulous views, fabulous food and fabulous staff who could not do enough for us. Will definitely be back."
6364,"I am feeling speechless. What a great experience. Couldn't fault it. We had a nice window table booked in advance , the food was good and even better drinks . Service was very good. And , the view. What an amazing view."
6365,"I think most people book this restaurant for the view, and it doesn't disappoint. The skyline of London seen from this familiar landmark building is dazzling, and the windows frame an endlessly changing vista of city life, ever shifting, and shimmering.
The food was good...More"
6366,Absolutely amazing views and such a lovely relaxed environment for breakfast. Nice selection of pastries and good sized breakfasts!
6367,"We didnt want to wait on a busy Saturday to go to the viewing platform so took a chance to get into the bar.

We got lucky with a window seat and allowed us to have a relaxing drink enjoying the fantastic view.

Good to...More"
6368,Went for an evening drink and was charged £24 for two G&T's... unbelievable... when queried the staff were arrogant. Good views but not worth it at half the price.More
6369,"Great view over London with great cocktails 
Very friendly and professional staff 
Each time I visit,  they maintain the same quality customer service which is an admiration"
6370,"Went to the Aqua Shard with my family who were visiting from overseas. Not only was the meal fantastic, but the food and service was top notch too. Even though it was a cloudy day, the views were still spectacular. Prices were fair as well...More"
6371,The location is very nice panoramic view is amazing. The food is delicious . For a dinner in 2 with full meal and drinks was £150. All good for a restaurant of that level.
6372,Amazing.  We were lucky enough to get a table by the window - wow - what a view of our home town.  We live in Cornwall but are both passionate and proud Londoners.  My partner was 60 a week before and we were in London...More
6373,"I phoned just a week before to book for my wife's birthday. They fitted the 6 of us in for lunch at 3pm., which was great as we had the daylight and twilight views. Fantastic.
The food was amazing and the service excellent from arrival...More"
6374,Everything you would expect from a fine restaurant with excellent views. Service was great with all staff happy to offer suggestions on what were the best food and drinks. Am planning to visit again. Only little complaint (very minor) was that took a while to...More
6375,"Great view, friendly/attentive staff and great food. Well, with one exception. May sound silly, but on two occasions now I've had toast under my poached eggs with crust that's simply too hard to eat or even cut with your knife."
6376,"The service and the view are impeccable. Among the various facilities in Shard, Aqua offers the best breakfast services"
6377,"We have just had lunch at the Aqua shard and have to say credit where credit is due we were totally impressed and looked after splendidly,extremely attentive staff ,fantastic location and better than average food and service, we arrived early for our reservation at 1.15...More"
6378,"Incredible view is worth the trip alone. The service is rather cold and uninspiring though with the staff barely going through the motions. Very sterile. 

They add a service charge when ordering and collecting drinks from the bar which is farcical and extremely annoying. 

If...More"
6379,"Arrived about 10 am on a dreary Monday and got a table for breakfast. Views were fantastic, service great and food outstanding. You must have a main but that was okay as choice was great, we had perfect eggs benadict and a brioche and banana...More"
6380,Went to The Shard with my Fiance for our 3yr Anniversary. Right away we were brought to a table looking out to the London eye. Fantastc view! The service was impeccable. Champagne was offered right away and the food was yummy. We recieved a complimentary...More
6381,"Fantastic views over London, great atmosphere. 
It definitely is pricey, although, the view makes up for this.
A drink at the shard is a must do whilst in London, especially at night time. London is the new New York!"
6382,"Great atmosphere to go with the stunning view. The food doesn't quite match the location although it's not bad by any means, but it's a shame as it would make a good experience into a great one."
6383,"This was a treat for my daughter's 18th birthday and WOW what a treat!! The staff were amazing and nothing was too much trouble. They presented her with a special ""Happy Birthday"" dessert and generally made a fuss of us all. When I enquired about...More"
6384,Another trip to the 34rd floor of the shard to enjoy the spectacular views.  The decor in the restaurant is fab with Liberty prints in complimentary colour ways.  A lot of attention to detail has been put into the branding.  Sadly not so much into...More
6385,"As you enter the aqua you are on a mezanine floor and you are 'thrust' a 2 storey windo view of London: quite something.
Down the stairs you are greeted by a heaving bar area which is only curtained off to the restaurant which is...More"
6386,50 quid a head and cheapest bottle of white is nearly £40. they say allow 2 hours and to be honest we thought we'd be half the time and still hungry.  How wrong were we.  gorgeous food and stunning venue. well worth the price ....More
6387,we had breakfast there and it needed to reserve few weeks in advance. The day we went was clear and sunny so that the view was wonderful. It is worth to go there for a meal or a drink.  The services were good.
6388,"Breathtaking views, gorgeous surroundings, good breakfast and all cheaper than paying to go up to the viewing platform!"
6389,"We had a reservation on Saturday evening for part of my husbands 40th present and when you walk in, its definitely a wow moment! The restaurant was gorgeous, the view was jaw dropping and we had a table just one away from the window which...More"
6390,"Visited here @4.30 on a Saturday for drinks to celebrate a friends birthday! 

Meet and greet staff friendly and helpful.

Bar staff, snooty and offish!

Horrendous, horrendous prices for drinks plus £2 service charge. Not sure what that was for considering I stood at the...More"
6391,"Went as a special treat for my wife's birthday and the place didn't let me down, service was great from the welcome at ground floor through the security, the wait for the lift was quick, the greeting at the restaurant doors to the staff checking...More"
6392,"We wanted to have a special start to our daughters birthday celebration in London breakfast at the shard seemed a perfect choice , we were greeted nicely and shown to our table for four , everything is smart and the views are impressive , service...More"
6393,"My friend treated me to brunch to celebrate my birthday. Firstly, the views are amazing and we found it so relaxing just looking out over London. The food was really good, I had the duck salad, lamb roast and lemon posset, they were all delicious!!...More"
6394,"If you want to impress a business client then this is the place.  Wonderful views over London, good but very expensive food and drinks.  It has an atmosphere where you can enjoy the ambiance but still hear the conversations at your table and I couldn't...More"
6395,"My daughter took me to the Shard for breakfast on Saturday. two full English breakfasts £66.

Obviously a luxurious restaurant and an excellent breakfast. Bacon might have been more pliable. Service excellent food great view spectacular."
6396,Fantastic lobster benedict and breakfast cocktails - highly recommended for brunch with great views.
6397,We went to the Aqua Shard last night for my boyfriends 50th. Wow what a venue it really gave the wow factor to our celebrations. Meet and greet was friendly and the bar was buzzing with a great atmosphere. Our table was ready bang on...More
6398,"I took my wife here for champagne afternoon tea (1500 x 1700). 
The entrance to all of the Shard restaurants is immediately outside the entrance/exit to the London Bridge Underground/Train station. 
On arrival we were met by the friendly front of house and directed to...More"
6399,We decided to go up the Shard to have a drink for a friends' birthday celebration. We got to the bar to order 4 cocktails (which would have been almost £80 worth of drinks) and were ignored for about 15 minutes - no one even...More
6400,We have been to the Aqua Shard two years ago and thoroughly enjoyed it. So we decided to go again for a celebration meal on Friday. However we were very disappointed this time. I don't mind paying for good food but everything was cold and...More
6401,"WOW! WOW! What can I say, second time in visiting this bar, but the first time at night, and did it look amazing, what a view!!! met our daughter there, okay, drinks are expensive and also service charge is added,  but what you get in...More"
6402,Visited the shard one evening whilst staying for the weekend in London. The view from the bar at night is spectacular and the lifts are quick! The only thing I would say is if you're hoping for a window seat in the bar you have...More
6403,"Booked a table for two, early Friday evening, at Aquashard for a meal with a visiting colleague from Hong Kong.
The restaurant was easy to find with a dedicated entrance and elevator to the 32nd floor.
The reception desk staff seated us quickly, and we...More"
6404,We went there for the celebration.  cant say was good experience. At least they can't spoil the view. They have to improve service quality .. service was poor .. we only enjoy the view ..
6405,"We went here last night to celebrate my husband's birthday, the 'restaurant' is more of a bar, it's expensive and a very very noisy place, it's really dark so reading the menu is very difficult. The food was OK I had a crab starter which...More"
6406,"Amazing service from the barmen, nice personalities and amazing care for the details of the drinks I had. A special thanks to the Italians guys working there, especially to Alessandro, you made my sitter in low birthday so special!!!!!!!"
6407,View good but you're rushed if you take the early sitting as they want your table for another sitting. Shame! Just go for a drink in the bar - see the view and then go eat somewhere else!More
6408,"On arrival there was a problem with our booking...having booked online the reservation did not appear! We were devastated...please if you book online, call up and check it! However, the staff were so kind, and let us have a drink at the bar while they...More"
6409,"It was several years ago that I dined at Aqua at the Shard.

it was a wonderful evening; the food was excellent the wine list expansive and the service first class and when the views are part of the experience I was just wonderful.

This...More"
6410,Food was OK.not brilliant. Waiter hovered. Cleared napkins one at a time when ran out of anything else to clear. Were left bill and we're chatting w wine glasses half full when person just stood at our table w card machine. I had to say...More
6411,"Spectacular view!
Lovely setting an seating
Service very attentive but confused
Good ok but way too expensive for the overall quality.  Go there for tea or drinks but skip dinner.  £260 for 2 adults and two kids (tiny kids portions and very little choice) and...More"
6412,"Just had the most amazing afternoon tea at Aqua Shard. From the moment we stepped out of the elevator we had such a magical experience. The views were absolutely stunning from all sides. Staff were so friendly, welcoming and attentive. We booked tea for 3pm,...More"
6413,"Wow what a way to start the day,well worth the money and wow what a view thrown in free! Meal was great big plate full  English,lobster was great to,tea coffee, fruit juice, and freshly made croissants were a dream well worth the visit"
6414,"We had a wonderful time here my husband and 9 year old,. was hard to try to get reservation by Internet its kind of confusing, and couldn't do my reservation by internet, since it was the middle of the week and low season I gave...More"
6415,"Food is great! The service could definitely improve! On my last visit, the service wasn't so great. The staff kept forgetting about our table with the food arriving even 30min after ordering. Shame!"
6416,"The views from the bar & restaurant are superb but sadly the visit was let down by the poor quality food.
All the staff, and there are probably too many of them, are very polite and friendly but probably a bit too quick in refilling...More"
6417,"Expensive brunch with little included (orange juice come for 6£). 
Service is not up to the price and the food was ok. 
Had to fight with the personnel to get a window table although we were surrounded by empty places. 
In my opinion, the Shard...More"
6418,"we went up one Saturday lunchtime for a few drinks before it got to busy. VERY slow service! Drinks were reasonable priced considering you are in central London, between £16 - £22 for a cocktail.

Great views all across London."
6419,Had a evening meal food arrived in good time but plate and food was cold but this was corrected very quickly and second was perfect
6420,"First time here. We have been to Hutong really often. Since we couldn't get a reservation there, we opted for Aqua Shard. Brunch was a three course. Pretty decent food. The view is excellent and that is one of the attractive things about the restaurant....More"
6421,"Loved the view, the atmoshphere, the service, the food! You can tell its a place lead by professionals!"
6422,"This was a lovely treat for my sister's Birthday. Unfortunately you can't reserve window tables but our table was adequate. The set lunch menu was good although once you've added on wine and sundries it is quite expensive. However, the service was excellent and for...More"
6423,"On the 31 floor of the Shard, view is spectacular. Bar zone is very nice, although can't tell anything about meal we went just for drinks."
6424,Stunning views especially of the London Eye and Tower Bridge.  We visited late afternoon and watched the lights come on over London and stayed a further hour enjoying the lights in the dark
6425,"Based on floor 31 of the Shard next to London Bridge station this restaurant should be reserved for special occasions as it offers the best view of London, great atmosphere, service and delicious food. It comes at a price but it doesn't disappoint. Excellent for...More"
6426,"The Bar was ok.  We dined at the Hutong.The food was terrible and the service not up to standard.
From where we were seated the view was alright.  Would suggest anyone to go there on a bright day. We  enjoyed the  London  skyline from the...More"
6427,"This is a must do if you go to London. It is really expensive but the atmosphere, views and whole experience are well worth it.
They do a brunch menu which is more reasonable or you can just go for drinks"
6428,"Excellent service, good food, lovely views, even from the toilet!!
Staff excellent. Drinks a little pricey, enjoyed the afternoon."
6429,"You could not ask for a better view as a couple. Two comfortable chairs looking out at a panorama with tower bridge at the centre. Far enough away from neighbours to chat undisturbed

Food, some reasonable ingredients but not well cooked. Only the deserts saved...More"
6430,"My cousin had a surprise engagement party here,the staff was so hopefully planned everything indetail of the night,they requested for him to propose to her in a private area which was a pool area!it was beautifully decorated!his bride to be walked in full of excitement!the...More"
6431,"What a setting!! Amazing views of London.
Food was good as was the service. Not somewhere we could afford to visit regularly but as an occasional special treat it's perfect and somewhere we won't forget visiting."
6432,A nice rooftop bar with nice drinks. Formal code only at the entrance or you may get rejected. Strongly recommended during summer
6433,"If you like dry bacon, cold toast with no butter, cheap sausages and black pudding, this is the place for you. I had to ask three times for a coffee that didn't arrive. One star just for the view (which is obviously spectacular being on...More"
6434,"The Aqua Shard is truly amazing in every way, the surrounding are incredible, the service is second to none and the food, OMG the food is the best i have ever treated!

Cant wait to go back and experience it all over again!

Thank you...More"
6435,"We arrived early, you have to go through security and were shown to a table overlooking tower bridge, the tower and the Thames. Staff were excellent and they have no problem catering to allergies. We had the 3 course lunch menu, duck, hake followed by...More"
6436,"Alex is a amazing person who served me and his table have a wonderful view.
The price of alcohol are around 16-25 pounds, it's very unique and have a perfect moment there"
6437,"Our first, and only visit, yes the views are wonderful, but trying to read the menu in a dark restaurant is annoying, only a limited choice, some of the food was very good, for example the trout starter, but the beef was only average but...More"
6438,"I've been to aqua shard several times for a drink, I fell in love with the view. It´s a beautiful place I recomend absolutely."
6439,"Was worried after reading some negative reviews. Went for 3 course weekend brunch and the food was amazing. The service was also brilliant. Expensive of course, but not outrageous."
6440,"A great place to spend an hour and have a drink .
The views are amazing 
The toilets are a must see 😀
Little bit in the pricey side but a small beer £6 and just enjoy the buzz of the place 
But remember but...More"
6441,"Staff were rude and pushy. We returned the table at the requested time and proceeding to continue with a few drinks in the bar (having settled the dinner bill).  
We were provided with the drinks bill shortly after recieving drinks, before we had requested it...More"
6442,"I travelled from Ireland to take my son to the Aqua Shard to celebrate his 21st birthday last week.  I found the place to be over priced and over hyped.  I do understand that you are paying for the view, however when that is the...More"
6443,"What a place! Buzzing with people, fantastic atmosphere and great music, not to forget the interior decor and the unforgettable view over London's night skyline. A must place to see and to be seen."
6444,"If you're looking for a memorable breakfast location then this is for you 
The view is awesome and that's really the main reason to go but the service is excellent and the food is well prepared 
Poached eggs with lobster was my choice along with...More"
6445,"My husband & I went for lunch and were extremely disappointed. We booked for 1pm, but it is quite clear that booking earlier will almost certainly guarantee you a window seat. My husband was sat on a bench seat that moved every time the person...More"
6446,"Warm welcome and friendly staff, with excellent knowledge and great variety but obviously at a premium price, enjoy we did."
6447,Had an amazing birthday dinner. View over London was incredible and staff very polite and attentive! Even brought out a small happy birthday dessert.
6448,"Ive been a number of times and feel each time the food has got slight worst. Firstly this is a stunning location the bar area is crowded with limited seating though. The menu is limited I choose the fillet and was disappointed, way too much...More"
6449,"After an afternoon at The Dorchester, my family and I headed for a drink at The Shard to continue with our celebrations. The bar was so dark and overcrowded it was definitely a fire hazard. Completely overpriced even for a tourist trap of this nature....More"
6450,"Food was average, service average, although don't expect a smile! Food came out promptly but once we had finished our meal trying to get attention for another drink or, when we gave up on that idea, the bill was slow. Very busy, good atmosphere. You...More"
6451,"A very stunning venue, with a tremendous view.  Free to get to, really friendly and professional staff. 
Expensive, but understandably. 
I've been there several times for work and pleasure. Highly recommended."
6452,I invited a business friend for lunch here and we had a great time. It's the sort of place which is big enough to lose yourselves in anonymity but busy enough to not feel like you are on a desert island. The service is good...More
6453,Incredible experience! Food was amazing. Cocktails were delicious (but expensive of course). The view was stunning. Totally worth it. The only down point I could day is that they can get quite messy with the cloakroom and take ages to return your jacket in busy...More
6454,"Visited for dinner last week. The view was as impressive as ever when you sit by a full-height window on the 32nd floor of a riverside London building. We did come for the view but, given the expense, we were looking forward to enjoying some...More"
6455,"Excellent brunch, lovely food options. £48.50 a head and extra for drinks. The photos capture the food that you don't see on the website. Highly recommend. Need to book ahead as very busy."
6456,"I was expecting my afternoon tea experience to be amazing and unfortunately I wasn't as happy as I should have been. Yes the view was amazing and you can't give any negative feedback on that.
 We went as a group of 5. We were put...More"
6457,It was our first experience to the Shard. What an amazing restaurant with an amazing view all spent with an amazing wife. We will come back !
6458,"The view and ambience 10/10 
Waiting 2/10 
Food (when hot) 6/10

My Wife and I visited the Aqua Shard for a meal last week. The lift was certainly impressive, although not as impressive as the views and the ambience. We were seated within fifteen minutes...More"
6459,"Came here a couple of times for various birthday drinks. Bar is manic so service is always slow. Cocktails are outrageously prices and don't even taste good. A gin and tonic is £15.... If you're there for the view, just have a walk round and...More"
6460,Took my dad to aqua shard for a lunch time beer...always a great time in the bar...views awesome staff lovely...big shout to David front of house manager..you made me laugh and feel so welcome...thank you
6461,"My wife treated me to dinner hear, the food was amazing and the breathtaking views made it even more special."
6462,Ok so I had requested a window table but no joy. we were seated at the darkest part if the restaurant and my sister faced a dark wooden wall with her back to the stunning views! So wasn't a good start! If I had been...More
6463,"Make sure you try and go on a clear night! 
Beautiful scenery and good cocktails. I think it's reasonable price too. Worth going."
6464,Good table menu.Lovely food. Good service at a table by the windows.Wine I felt was a little to expensive.
6465,"go before and through dusk,Food  is quality, view superb as London lights up over north.south east and west.Quite exhilarating."
6466,Meal was nice although mix up with wine. Service was good. Was given a macaroon yes just the one between the 2 of us to wish us happy anniversary . We shared it but was a nice touch. We both did notice how the restaurant...More
6467,A fab place to celebrate our son's 16th. We went for Sunday brunch which is really a three course meal with some unusual breakfast items thrown in. My husband is a big fan of eggs benedict and this one came with lobster. Two of us...More
6468,I still regret going here ..I have two days in the year where I leave my 4 children ..two whom have disabilities and me and my husband plan a weekend stress free getaway ..we had been staying at the sunburn yatch hotel .. Perfect place...More
6469,Had an excellent meal with a wonderful table for two in a window looking westwards over London. The food was good but the menus choices were surprisingly limited. Good wine list of old and new world and a sensible range of wines/prices
6470,"The staff were very welcoming and the atmosphere of the restaurant was good.  The food was lovely, and as a treat for my husband's birthday, he was given an extra 'Happy Birthday' pudding. The views from the 31st floor were amazing."
6471,"Good food well presented. Excellent service.  The restaurant had a good ambience, music, chatter and laughter - the feel of people enjoying themselves. My sister and I were celebrating a birthday and the location helped to make it really special.  We were given a table...More"
6472,Couldn't believe how quick the lift was. I am not keen on lifts but hardly noticed we were in one. Worth the journey as the view of London from above gives a different perspective. We opted for the set meal and universally agreed that the...More
6473,"Our second visit to this impressive building. First time was daytime, second time by night. It is spectacular and well worth a visit. We had no trouble queueing or hanging around. Just two quick lift rides and you're at the top. Also there's no pressure...More"
6474,"What can I say? The view from (only) the 31st floor is amazing, especially in the evening when it gets dark and London is lit up like a xmass tree. It was very crowded but we managed to secure a table at the window. The...More"
6475,"Took my partner for a special treat.

On arrival our coats were taken and we were seated overlooking the Tower of London. Views were good considering the weather was overcast. 

After about 10 minutes a waiter asked us if we wanted a drink. The drinks...More"
6476,Absolutely loved it at at the aqua bar. The view is amazing and you can have a nice drink!! Win win. Would like to try afternoon tea as that look cool
6477,"The view is out of this world, go just for the view but be prepared the afternoon tea is not the best. We were not offered any extra tea nor sandwiches which we have had at other London hotels, couldn't eat the cakes as they...More"
6478,"So disappointed with Aqua. The Shard has been on our wish list for a while, and a business trip to London with some free time meant we could finally make a visit for lunch. 
Duck leg for starter - that's if we could find much...More"
6479,I made reservations for the last possible slot for breakfast on a Saturday morning and expected to be rushed as they said there was a 1.5 hour sitting slot. When I arrived the doorman showed me in to bag check and then up in the...More
6480,"Thank you to all the staff who made this such a memorable occasion.  We were not rushed at all, were there nearly 3 hours, and so had plenty of time to enjoy the delicious food and amazing views.  The weekend brunch menu was lovely and...More"
6481,"The view is amazing and I was expecting the service and the food to be equally good ... I was very disappointed..
Royal jersey as hard as bullets and flavourless morels mushrooms( I mentioned the lack of flavour to our waitress and was met with...More"
6482,"Get there early or wait in line outside. Popular place for a drink. Nice view of tower bridge and London in general. Typical metropolitan city high rise bar. 32nd floor. Quiet enough to have a nice conversation. Nice cocktails, good service."
6483,"Booked a meal at the Aqua Shard as a birthday treat for my husband.We arrived early for our 1.30 lunch so we sat by the windows on the 32nd fkoor and took in the fantastic views of London,from Canary Wharf one way and down to...More"
6484,"Thisnis an absolutely must go in London!
As you come in, you feel like in a huge fish bowl having London at your feet!!! 
I managed to get a table by the  window, which made the experience even better!!"
6485,"We went here for afternoon tea and it did not disappoint!

The service from start to finish was amazing, the food was outstanding and the views just topped it off! 

It is expensive but it was totally worth it!"
6486,"Shard visited with my wife for a dinner,actually after reading so much mixed reviews was sceptical about it,but experience was absolutely great. Restaurant staff was very friendly and professional,food amazing from start to finish. Views is just WOW,even from the toilet :D nice touch :D....More"
6487,"Good food but expensive, cost £130 for brunch for two including service, we were rushed so they could set up table for lunch."
6488,Went to Aqua for breakfast with my sisters and enjoyed toasting a special birthday with champagne! Gorgeous views too.
6489,Dinner was wonderful view was amazing table staff were good but the welcome left a sour taste in my mouth
6490,"We had a fantastic time the shard had the wow factor and the 3 courses we had were amazing,would Delhi again"
6491,Such an amazing experience when we came for lunch on 24th June.It was my sons 21st birthday and they went out of their way to make it very special for him from the private room to the fantastic food and brilliant service. We will treasure...More
6492,"The best thing about this bar is the view, which isn't as good as the view that you get when you do the full experience of the view from the shard.
The drinks are absurdly expensive (£7.00 for cola as a mixer with a spirit)....More"
6493,"We made a reservation for dinner time. Our table was window front in a corner so that we were far from the crowd and most importantly we had an amazing view of London by night. The menu doesn't show as such as big variety, but...More"
6494,We visited for Sunday brunch. The service was poor and the food expensive and poorly cooked. The eggs were undercooked the cod mash was over salted and the coffee cold. Felt £16 for a Bloody Mary was an outrageous price   Although the views were fantastic...More
6495,"Told couldn't reserve seats and to get there early. Did so and was told seats were reserved for another party. Fine. Served by about five wait staff, but no one knew what they were doing. Food was nice. Atmosphere a bit strained. Wouldn't go again...More"
6496,Very nice place (pricey) which for me was a great alternative to paying to go to the viewing platform - still get the views and you are paying for food or drink. This is a smart place so make sure you dress smartly or you...More
6497,"I booked the restaurant for my wife's birthday and was very disappointed, as it fell well short of my expectations. It was very noisy, and so dark that I couldn't even read the menu without using the light from my phone.
They also emphasize the...More"
6498,"i'm a vegetarian, The bread was fantastic. 

View was great to stare at whilst i devoured my bread and 2 asparagus. 10/10 would try again.More"
6499,"I hosted a special family lunch event, in one of the private dining rooms and it was made all the more special thanks to the wonderful staff at Aqua.  The food was divine, the views spectacular and the service impeccable.  David, the manager, was especially...More"
6500,the restaurant was excellent in all aspects except the music which was modern jazz throughout and too loud. Stunning views.
6501,"We went to the Aqua Shard to celebrate a birthday and we were not disappointed. The views are breathtaking, the service was excellent and the food was good with a short menu to choose from. 

The only downside is the price but we thought it...More"
6502,"Booked to go here for Afternoon tea for Mum's birthday as a treat.
Arrived early and shown to table - great position by the window (although couldn't believe how dirty the windows actually were!)

Asked if we'd like Champagne which we then received.
Afternoon tea...More"
6503,"I've been to the Shard for dinner and breakfast - the staff have been helpful each time and the views are great.  But you probably pay over the odds for the food/wine, given the great location - but I guess that's to be expected.  I'd...More"
6504,"I wasn't so impressed when colleagues booked this restaurant for dinner, I am vegetarian and the reviews for this aren't stunning on the web.  I e-mailed them and the response wasn't encouraging, they would adapt something on the menu and wouldn't prepare anything with advance...More"
6505,"Went here for breakfast during our trip to London.

There are so many sky high bars/ restaurants and cafes in London and I have to say this is not one of the best. Better to save your pennies and go to Sushi Samba or Sky...More"
6506,"I have nothing good to say. The booking process is more complicated than obtaining a passport, this restaurant is simply not worth the hassle. Save your money for the viewing gallery and eat somewhere localMore"
6507,I was there for my anniversary and I really had the prefect evening. Arrived a bit early and have a drink at the bar in a nice table. Them for dinner we were in a table next to the window with the most wonderful view...More
6508,"We chose the shard for my Dad's birthday and although the staff were polite enough, the set menu was very limited and unappetising, including amongst the limited options- 'cornmeal porridge'- I mean- Honestly?...I would have expected more from a place like the shard.

Having said...More"
6509,"Amazing views of London and amazing food to match. Whilst it is a fine dining experience it feels friendly and welcoming regardless of how much you spend on your bottle of wine. The food is incredible as you would expect but the environment isn't pretentious,...More"
6510,"I spent a few days in London with a friend so did the touristy thing and went up the Shard for a cocktail as you do.
The cocktails were pricey (£18 per cocktail) but you pay for the view here. We had a relaxing time...More"
6511,"Breakfast this morning with my husband for his birthday. A beautiful window table, lovely food, good service & stunning views.
So glad we did this, memories to treasure."
6512,Visited here early afternoon for a few drinks. Views fantastic and it was too busy so managed to get a seat. Staff friendly and attentive. Lovely glass of wine. Friends had cocktails and said they were wonderful. Will book a table for lunch next time...More
6513,"Upon arrival we were greeted with a warm welcome and taken to our table to wait for our friends who arrived shortly after us. Our order was taken , water, bread and wine soon arrived at our table .
My starter of Evesham beets and...More"
